TransactionID,CustomerID,ProductID,TransactionDate,Amount,ChargebackStatus,ChargebackReason,Country,City
1,276,13,2024-01-30,853.75,No,,Peru,Arequipa
2,362,52,2023-09-11,993.7,No,,Peru,Cusco
3,180,12,2024-02-08,606.82,No,,Colombia,Medellín
4,313,68,2023-07-06,324.47,No,,Peru,Cusco
5,119,73,2024-03-16,506.58,No,,Costa Rica,Cartago
6,135,79,2024-02-02,351.19,No,,Peru,Lima
7,458,65,2024-06-20,996.1,No,,Peru,Lima
8,367,85,2023-04-19,312.07,No,,Brazil,São Paulo
9,247,12,2024-03-15,297.52,No,,Argentina,Córdoba
10,455,93,2024-02-26,283.0,No,,Mexico,Guadalajara
11,396,8,2023-05-26,485.9,No,,Chile,Concepción
12,39,72,2023-10-13,887.32,No,,Costa Rica,Cartago
13,2,47,2024-03-03,507.57,No,,Brazil,Rio de Janeiro
14,43,78,2023-11-06,412.24,No,,Colombia,Cali
15,443,21,2023-09-18,638.13,No,,Chile,Santiago
16,144,91,2024-03-24,618.13,No,,Costa Rica,San José
17,391,75,2023-04-20,952.81,No,,Mexico,Mexico City
18,236,33,2023-04-20,962.95,No,,Argentina,Buenos Aires
19,292,19,2023-03-14,732.39,No,,Peru,Cusco
20,175,47,2023-09-15,374.13,No,,Argentina,Rosario
21,233,81,2023-12-23,615.7,No,,Uruguay,Montevideo
22,471,48,2023-01-01,70.8,No,,Peru,Arequipa
23,327,81,2023-02-12,729.79,No,,Costa Rica,San José
24,104,50,2024-02-21,49.3,No,,Uruguay,Punta del Este
25,73,14,2023-04-11,889.56,No,,Argentina,Córdoba
26,86,75,2023-11-23,333.86,No,,Argentina,Buenos Aires
27,71,7,2023-02-02,737.42,No,,Peru,Cusco
28,266,93,2023-05-02,895.09,No,,Uruguay,Montevideo
29,147,10,2024-03-11,302.29,No,,Argentina,Córdoba
30,166,78,2024-04-17,463.06,No,,Mexico,Mexico City
31,3,56,2023-11-25,940.83,No,,Chile,Concepción
32,132,56,2023-06-29,143.98,No,,Peru,Arequipa
33,494,27,2023-04-15,336.78,No,,Costa Rica,Alajuela
34,229,95,2024-05-24,865.76,No,,Costa Rica,San José
35,102,48,2024-05-24,386.76,No,,Uruguay,Salto
36,15,35,2023-05-26,467.16,No,,Brazil,Brasília
37,192,79,2023-03-21,486.94,No,,Uruguay,Montevideo
38,370,87,2023-07-19,122.53,No,,Mexico,Guadalajara
39,11,98,2024-06-08,332.84,No,,Costa Rica,San José
40,234,40,2024-01-23,492.68,No,,Venezuela,Maracaibo
41,442,14,2024-04-27,817.13,No,,Venezuela,Caracas
42,56,38,2023-01-17,196.24,No,,Brazil,Rio de Janeiro
43,287,40,2023-01-19,241.83,No,,Chile,Concepción
44,21,12,2023-04-26,219.54,No,,Argentina,Rosario
45,6,64,2024-06-30,458.82,No,,Peru,Arequipa
46,62,21,2023-12-22,184.55,No,,Uruguay,Salto
47,489,53,2024-03-19,598.87,No,,Argentina,Buenos Aires
48,220,48,2024-03-28,212.47,No,,Costa Rica,San José
49,487,54,2023-05-25,626.62,No,,Colombia,Bogotá
50,417,27,2023-02-18,476.77,No,,Colombia,Bogotá
51,432,76,2023-05-31,851.12,No,,Brazil,Brasília
52,291,3,2023-12-25,701.34,No,,Costa Rica,Alajuela
53,121,12,2023-05-14,154.96,No,,Venezuela,Valencia
54,464,18,2024-01-01,222.82,No,,Uruguay,Salto
55,473,38,2023-12-02,167.15,No,,Costa Rica,Cartago
56,279,69,2023-09-07,840.27,No,,Chile,Concepción
57,67,25,2024-06-08,669.54,No,,Chile,Valparaíso
58,495,28,2024-04-01,496.4,No,,Costa Rica,San José
59,25,82,2023-01-25,92.58,No,,Brazil,Brasília
60,374,3,2023-06-06,878.37,No,,Venezuela,Caracas
61,109,3,2024-06-15,905.95,No,,Brazil,São Paulo
62,43,67,2023-09-15,611.19,No,,Peru,Lima
63,177,82,2023-03-10,582.27,No,,Costa Rica,San José
64,397,29,2023-07-24,758.75,No,,Venezuela,Maracaibo
65,252,59,2023-03-04,55.96,No,,Venezuela,Maracaibo
66,52,76,2023-12-25,212.09,No,,Peru,Arequipa
67,490,39,2023-06-29,784.09,No,,Venezuela,Caracas
68,103,41,2023-05-15,321.87,No,,Uruguay,Punta del Este
69,3,62,2023-02-05,994.68,No,,Venezuela,Maracaibo
70,75,22,2023-11-25,634.49,No,,Uruguay,Punta del Este
71,159,98,2024-06-10,853.19,No,,Venezuela,Maracaibo
72,105,43,2023-05-18,746.67,No,,Chile,Valparaíso
73,237,24,2024-02-16,402.27,No,,Brazil,São Paulo
74,92,61,2024-05-28,836.0,No,,Costa Rica,Alajuela
75,341,69,2024-05-20,272.52,No,,Mexico,Monterrey
76,448,39,2024-06-28,886.29,No,,Costa Rica,Cartago
77,481,25,2023-03-08,637.03,No,,Mexico,Monterrey
78,422,66,2024-01-18,688.96,No,,Uruguay,Punta del Este
79,289,87,2024-04-23,373.91,No,,Peru,Lima
80,491,6,2023-11-27,155.59,No,,Peru,Lima
81,100,88,2023-05-30,128.53,No,,Chile,Santiago
82,416,38,2023-08-07,221.92,No,,Chile,Valparaíso
83,136,94,2023-03-19,808.11,No,,Chile,Valparaíso
84,453,67,2024-04-27,835.25,No,,Peru,Cusco
85,265,8,2023-07-09,43.26,No,,Uruguay,Punta del Este
86,84,85,2023-09-20,904.73,No,,Costa Rica,Alajuela
87,373,56,2023-01-27,777.91,No,,Brazil,Rio de Janeiro
88,155,29,2024-01-08,558.1,No,,Uruguay,Salto
89,3,65,2023-12-27,790.73,No,,Costa Rica,San José
90,168,84,2023-12-29,837.74,No,,Colombia,Medellín
91,228,31,2024-01-31,713.05,No,,Brazil,Rio de Janeiro
92,280,8,2024-02-09,221.11,No,,Mexico,Mexico City
93,12,33,2024-01-16,493.58,No,,Brazil,São Paulo
94,410,42,2023-07-12,922.4,No,,Uruguay,Punta del Este
95,353,69,2023-07-01,424.58,No,,Venezuela,Valencia
96,101,72,2024-03-09,681.24,No,,Mexico,Guadalajara
97,395,6,2024-01-27,727.32,No,,Peru,Lima
98,271,13,2024-03-28,958.55,No,,Costa Rica,San José
99,70,54,2023-10-25,174.42,No,,Mexico,Monterrey
100,218,75,2023-05-05,201.84,No,,Brazil,São Paulo
101,293,41,2023-01-14,886.9,No,,Venezuela,Maracaibo
102,198,44,2023-10-21,267.58,No,,Colombia,Cali
103,51,81,2023-04-19,533.39,No,,Venezuela,Valencia
104,330,56,2023-01-31,122.98,No,,Brazil,São Paulo
105,20,17,2023-04-10,551.2,No,,Uruguay,Montevideo
106,459,52,2023-06-15,380.78,No,,Chile,Concepción
107,91,98,2023-12-14,123.68,No,,Mexico,Monterrey
108,303,95,2023-10-25,740.07,No,,Venezuela,Caracas
109,453,1,2023-09-29,914.88,No,,Peru,Cusco
110,351,61,2024-03-27,453.24,No,,Chile,Concepción
111,296,64,2023-07-26,990.46,No,,Chile,Santiago
112,388,64,2024-03-23,464.62,No,,Colombia,Bogotá
113,126,12,2024-04-18,482.72,No,,Chile,Santiago
114,170,56,2023-10-23,52.32,No,,Chile,Santiago
115,321,21,2023-07-24,978.81,No,,Brazil,Brasília
116,434,68,2023-03-02,754.12,No,,Colombia,Cali
117,26,98,2023-02-13,431.48,No,,Chile,Valparaíso
118,123,53,2023-11-19,418.1,No,,Uruguay,Salto
119,152,30,2023-03-28,98.73,No,,Venezuela,Valencia
120,197,31,2023-10-30,252.11,No,,Brazil,Rio de Janeiro
121,396,23,2023-12-07,873.66,No,,Brazil,Brasília
122,339,27,2023-01-28,21.78,No,,Colombia,Bogotá
123,456,98,2023-10-20,522.87,No,,Argentina,Buenos Aires
124,362,7,2024-02-12,128.53,No,,Peru,Lima
125,280,74,2024-03-12,683.61,No,,Peru,Arequipa
126,85,53,2023-09-01,360.11,No,,Mexico,Guadalajara
127,132,83,2023-09-01,747.0,No,,Brazil,Brasília
128,150,52,2024-03-30,83.95,No,,Brazil,Rio de Janeiro
129,52,82,2024-05-13,17.13,No,,Peru,Lima
130,16,88,2023-11-08,202.25,No,,Mexico,Guadalajara
131,287,63,2024-02-22,901.3,No,,Costa Rica,Cartago
132,362,81,2023-11-20,761.7,No,,Chile,Concepción
133,307,62,2023-09-29,131.52,No,,Mexico,Guadalajara
134,299,21,2023-03-10,626.14,No,,Chile,Valparaíso
135,249,3,2024-04-07,546.79,No,,Colombia,Medellín
136,326,87,2023-06-16,392.81,No,,Mexico,Mexico City
137,50,87,2023-11-15,378.08,No,,Costa Rica,Alajuela
138,432,65,2023-01-20,87.31,No,,Colombia,Bogotá
139,486,67,2023-08-31,178.35,No,,Venezuela,Valencia
140,419,82,2023-08-21,821.02,No,,Venezuela,Caracas
141,453,79,2023-05-18,93.45,No,,Argentina,Buenos Aires
142,189,29,2023-11-28,454.4,No,,Brazil,Rio de Janeiro
143,360,27,2024-06-01,375.89,No,,Mexico,Mexico City
144,492,77,2023-09-11,376.83,No,,Peru,Lima
145,140,73,2024-05-14,995.27,No,,Chile,Concepción
146,267,68,2024-04-02,440.49,No,,Chile,Concepción
147,256,28,2024-03-25,614.06,No,,Mexico,Mexico City
148,316,91,2024-02-18,102.14,No,,Venezuela,Maracaibo
149,301,59,2023-12-10,736.45,No,,Costa Rica,Alajuela
150,33,34,2023-12-16,860.64,No,,Chile,Valparaíso
151,381,16,2023-06-15,937.01,No,,Mexico,Mexico City
152,210,19,2023-01-23,320.91,No,,Brazil,Rio de Janeiro
153,33,48,2023-07-27,427.1,No,,Argentina,Buenos Aires
154,283,67,2023-01-13,171.47,No,,Peru,Arequipa
155,411,75,2023-04-18,908.06,No,,Mexico,Guadalajara
156,296,99,2023-10-02,405.45,No,,Mexico,Monterrey
157,218,19,2023-08-30,207.95,No,,Chile,Concepción
158,61,97,2023-11-24,736.75,No,,Colombia,Medellín
159,84,9,2024-06-06,501.8,No,,Venezuela,Caracas
160,389,75,2023-10-31,965.99,No,,Mexico,Monterrey
161,140,30,2023-01-15,317.69,No,,Peru,Arequipa
162,12,81,2023-11-15,85.36,No,,Mexico,Monterrey
163,368,86,2024-05-08,495.72,No,,Brazil,São Paulo
164,148,29,2024-01-26,836.66,No,,Costa Rica,Cartago
165,210,89,2024-03-10,56.35,No,,Costa Rica,Alajuela
166,418,75,2024-06-14,206.56,No,,Uruguay,Salto
167,188,79,2024-01-21,72.43,No,,Mexico,Mexico City
168,373,30,2024-04-04,467.4,No,,Mexico,Mexico City
169,125,48,2023-08-04,603.88,No,,Venezuela,Valencia
170,457,24,2023-12-07,235.95,No,,Mexico,Monterrey
171,80,58,2023-03-25,562.63,No,,Mexico,Guadalajara
172,357,66,2023-06-10,788.33,No,,Brazil,Rio de Janeiro
173,154,93,2024-06-12,470.42,No,,Colombia,Bogotá
174,280,2,2023-04-14,932.71,No,,Costa Rica,Cartago
175,146,28,2024-04-10,629.21,No,,Uruguay,Montevideo
176,14,59,2024-02-19,825.55,No,,Brazil,Rio de Janeiro
177,326,48,2023-11-17,993.37,No,,Brazil,São Paulo
178,236,2,2024-01-29,639.37,No,,Argentina,Rosario
179,265,31,2024-05-27,249.41,No,,Uruguay,Montevideo
180,335,92,2023-09-15,624.2,No,,Costa Rica,San José
181,180,70,2023-11-15,698.61,No,,Brazil,São Paulo
182,12,8,2024-01-28,605.77,No,,Argentina,Córdoba
183,428,64,2023-02-12,8.14,No,,Mexico,Mexico City
184,222,58,2023-04-30,270.43,No,,Uruguay,Montevideo
185,411,93,2023-08-14,752.0,No,,Mexico,Guadalajara
186,150,92,2024-05-13,747.56,No,,Costa Rica,San José
187,249,99,2024-02-19,375.37,No,,Chile,Santiago
188,470,65,2023-05-09,186.33,No,,Colombia,Cali
189,25,26,2023-02-18,844.79,No,,Brazil,Rio de Janeiro
190,126,92,2024-06-21,583.8,No,,Colombia,Medellín
191,480,100,2023-07-13,267.33,No,,Uruguay,Salto
192,496,59,2023-10-12,847.96,No,,Argentina,Rosario
193,255,15,2023-02-08,483.61,No,,Peru,Lima
194,407,56,2023-03-08,856.2,No,,Costa Rica,Cartago
195,419,39,2023-02-20,954.58,No,,Colombia,Cali
196,208,65,2023-07-08,959.29,No,,Argentina,Córdoba
197,74,56,2024-01-30,505.57,No,,Chile,Concepción
198,54,51,2023-06-27,734.56,No,,Colombia,Medellín
199,23,52,2023-02-10,651.6,No,,Colombia,Cali
200,62,92,2023-08-07,65.98,No,,Peru,Cusco
201,105,69,2023-02-01,806.41,No,,Chile,Concepción
202,356,45,2024-01-29,632.5,No,,Peru,Cusco
203,99,27,2023-09-02,370.36,No,,Venezuela,Valencia
204,139,30,2024-01-22,253.45,No,,Colombia,Bogotá
205,434,41,2023-04-04,880.85,No,,Brazil,Rio de Janeiro
206,55,97,2023-02-19,246.73,No,,Argentina,Rosario
207,129,64,2023-07-14,757.06,No,,Brazil,Brasília
